ProductName,Category,Brand,UnitPrice
Hiking Boots,Pets,LuxeAura,381
Jacket,Outdoor & Garden,VelvetVista,414
Garden Tools,Pets,UrbanGlow,202
Art Supplies,Kitchen & Dining,LuxeAura,394
Pet Bed,Pets,ZenithStyle,443
Power Bank,Electronics,VelvetVista,777
Sewing Machine,Health & Fitness,ZenithStyle,163
Monitor,Kitchen & Dining,EtherealEdge,926
Showerhead,Pets,ZenithStyle,889
Supplement,Kitchen & Dining,UrbanGlow,162
VR Headset,Kitchen & Dining,ZenithStyle,546
Stove,Home Appliances,EtherealEdge,860
Smartphone,Home Appliances,LuxeAura,152
Fish Food,Home Appliances,EtherealEdge,507
Pet Bed,Toys & Games,UrbanGlow,987
Dog Collar,Home Appliances,EtherealEdge,470
Bicycle,Home Appliances,UrbanGlow,742
Robot Vacuum,Home Appliances,EtherealEdge,101
Craft Kit,Arts & Crafts,VelvetVista,476
Electric Toothbrush,Electronics,ZenithStyle,590
Robot Vacuum,Pets,ZenithStyle,841
Bicycle,Sports & Recreation,EtherealEdge,374
Board Game,Health & Fitness,UrbanGlow,847
Dishwasher,Arts & Crafts,ZenithStyle,333
Headphones,Home Appliances,LuxeAura,846
Lawn Sprinkler,Arts & Crafts,ZenithStyle,679
Toy Car,Outdoor & Garden,VelvetVista,597
Rain Jacket,Sports & Recreation,LuxeAura,313
Fish Food,Arts & Crafts,UrbanGlow,744
Wetsuit,Pets,ZenithStyle,709
Ping Pong Table,Electronics,UrbanGlow,201
Basketball,Kitchen & Dining,ZenithStyle,844
Hiking Boots,Home & Furniture,LuxeAura,127
Fan,Toys & Games,ZenithStyle,130
Water Filter,Arts & Crafts,ZenithStyle,142
Patio Furniture,Electronics,VelvetVista,893
Baseball Glove,Home & Furniture,EtherealEdge,983
Bird Cage,Pets,UrbanGlow,910
Snow Shovel,Outdoor & Garden,VelvetVista,975
Hiking Boots,Home & Furniture,UrbanGlow,436
Electric Kettle,Kitchen & Dining,LuxeAura,475
Washing Machine,Kitchen & Dining,UrbanGlow,428
Lawn Sprinkler,Toys & Games,EtherealEdge,818
Badminton Set,Arts & Crafts,UrbanGlow,217
Hair Dryer,Toys & Games,UrbanGlow,758
Fan,Health & Fitness,VelvetVista,543
Laser Printer,Health & Fitness,LuxeAura,582
Helmet,Sports & Recreation,LuxeAura,196
Camping Chair,Home Appliances,ZenithStyle,944
Snow Shovel,Sports & Recreation,VelvetVista,615
Antivirus,Health & Fitness,VelvetVista,301
VR Headset,Pets,VelvetVista,699
Drone,Kitchen & Dining,EtherealEdge,515
Outdoor Umbrella,Health & Fitness,UrbanGlow,110
Lamp,Arts & Crafts,VelvetVista,888
Water Bottle,Outdoor & Garden,LuxeAura,918
Pillow,Health & Fitness,EtherealEdge,625
Hair Dryer,Arts & Crafts,ZenithStyle,225
Robot Vacuum,Toys & Games,ZenithStyle,435
Bluetooth Speaker,Arts & Crafts,EtherealEdge,824
Electric Toothbrush,Toys & Games,UrbanGlow,204
Hammock,Home & Furniture,LuxeAura,444
Dog Leash,Toys & Games,VelvetVista,735
Camping Tent,Kitchen & Dining,EtherealEdge,845
Cat Tree,Arts & Crafts,LuxeAura,159
Pet Carrier,Electronics,EtherealEdge,584
Speaker,Home Appliances,EtherealEdge,552
Pet Bed,Electronics,ZenithStyle,779
Action Figure,Electronics,VelvetVista,262
Washing Machine,Electronics,EtherealEdge,524
Camera,Kitchen & Dining,EtherealEdge,572
Pet Toy,Kitchen & Dining,EtherealEdge,166
Outdoor Umbrella,Outdoor & Garden,UrbanGlow,837
Telescope,Electronics,VelvetVista,766
Paddleboard,Arts & Crafts,LuxeAura,524
Action Figure,Pets,UrbanGlow,741
Tennis Racket,Arts & Crafts,VelvetVista,147
Antivirus,Toys & Games,ZenithStyle,987
Keyboard,Kitchen & Dining,EtherealEdge,438
Garden Tools,Arts & Crafts,ZenithStyle,736
Fitness Tracker,Sports & Recreation,VelvetVista,326
Cat Litter Box,Arts & Crafts,VelvetVista,671
Tent,Kitchen & Dining,VelvetVista,990
VR Headset,Toys & Games,LuxeAura,877
Supplement,Kitchen & Dining,ZenithStyle,377
Blender,Home & Furniture,VelvetVista,174
Monitor,Home & Furniture,ZenithStyle,231
Dog Leash,Electronics,VelvetVista,507
Grill,Arts & Crafts,UrbanGlow,901
Thermos,Kitchen & Dining,EtherealEdge,660
VR Headset,Electronics,ZenithStyle,650
Projector,Electronics,VelvetVista,280
Snow Shovel,Home Appliances,UrbanGlow,965
Projector,Toys & Games,VelvetVista,118
Fan,Kitchen & Dining,EtherealEdge,410
Sheets,Sports & Recreation,ZenithStyle,736
Craft Kit,Pets,UrbanGlow,139
Jacket,Home Appliances,ZenithStyle,785
Fishing Rod,Health & Fitness,EtherealEdge,145
Hair Dryer,Sports & Recreation,VelvetVista,196
Fan,Outdoor & Garden,UrbanGlow,467
Rain Jacket,Electronics,ZenithStyle,357
Patio Furniture,Health & Fitness,UrbanGlow,266
Dart Board,Outdoor & Garden,LuxeAura,548
Bed,Electronics,UrbanGlow,241
Headphones,Sports & Recreation,VelvetVista,152
Fire Pit,Toys & Games,LuxeAura,324
Drone,Pets,LuxeAura,268
Lawn Sprinkler,Home & Furniture,VelvetVista,383
Sleeping Pad,Outdoor & Garden,ZenithStyle,755
Projector,Pets,LuxeAura,157
Surfboard,Sports & Recreation,LuxeAura,704
Doll,Kitchen & Dining,LuxeAura,356
Badminton Set,Home Appliances,VelvetVista,576
Smartwatch,Kitchen & Dining,UrbanGlow,383
Smartphone,Electronics,VelvetVista,694
Blender,Outdoor & Garden,VelvetVista,248
Snow Shovel,Pets,ZenithStyle,115
Bird Feeder,Home Appliances,EtherealEdge,980
Game Console,Electronics,ZenithStyle,413
Printer,Electronics,UrbanGlow,269
Camping Tent,Outdoor & Garden,LuxeAura,825
Drone,Home & Furniture,EtherealEdge,302
Sleeping Bag,Health & Fitness,EtherealEdge,764
Sleeping Bag,Arts & Crafts,ZenithStyle,898
Laptop,Sports & Recreation,VelvetVista,898
Treadmill,Pets,EtherealEdge,930
Elliptical,Toys & Games,EtherealEdge,857
Keyboard,Home & Furniture,EtherealEdge,402
3D Printer,Electronics,VelvetVista,277
Ski Goggles,Health & Fitness,EtherealEdge,981
Hiking Boots,Arts & Crafts,UrbanGlow,877
Jacket,Outdoor & Garden,LuxeAura,691
Dumbbells,Outdoor & Garden,VelvetVista,520
Blender,Pets,UrbanGlow,167
Helmet,Health & Fitness,ZenithStyle,442
Elliptical,Electronics,EtherealEdge,761
Thermos,Outdoor & Garden,UrbanGlow,882
Humidifier,Health & Fitness,LuxeAura,432
Helmet,Arts & Crafts,UrbanGlow,670
Treadmill,Pets,LuxeAura,670
Helmet,Home & Furniture,VelvetVista,223
Humidifier,Sports & Recreation,VelvetVista,439
Juicer,Pets,VelvetVista,370
Water Filter,Sports & Recreation,UrbanGlow,197
VR Headset,Home & Furniture,VelvetVista,790
Blender,Sports & Recreation,EtherealEdge,775
Showerhead,Kitchen & Dining,UrbanGlow,638
Fire Pit,Electronics,UrbanGlow,891
Juicer,Arts & Crafts,ZenithStyle,732
Soap,Toys & Games,LuxeAura,691
Water Bottle,Toys & Games,UrbanGlow,728
Electric Shaver,Arts & Crafts,VelvetVista,366
Printer,Health & Fitness,UrbanGlow,730
Tennis Racket,Pets,UrbanGlow,365
Showerhead,Pets,ZenithStyle,313
Ski Goggles,Home & Furniture,UrbanGlow,745
Garden Tools,Electronics,ZenithStyle,630
Fishing Rod,Health & Fitness,EtherealEdge,780
Ping Pong Table,Kitchen & Dining,UrbanGlow,604
Home Security Camera,Kitchen & Dining,UrbanGlow,427
Air Purifier,Home & Furniture,LuxeAura,306
Air Conditioner,Home Appliances,LuxeAura,693
Smartphone,Home & Furniture,UrbanGlow,988
Ice Skates,Kitchen & Dining,ZenithStyle,569
Camping Chair,Pets,LuxeAura,133
Action Figure,Outdoor & Garden,ZenithStyle,825
Pillow,Arts & Crafts,UrbanGlow,556
Garden Hose,Health & Fitness,LuxeAura,933
Sled,Sports & Recreation,LuxeAura,253
Bluetooth Speaker,Home Appliances,EtherealEdge,173
Dart Board,Health & Fitness,EtherealEdge,220
Camping Tent,Electronics,ZenithStyle,177
Lamp,Health & Fitness,ZenithStyle,850
Lawn Sprinkler,Home & Furniture,EtherealEdge,797
Humidifier,Arts & Crafts,VelvetVista,848
Thermos,Kitchen & Dining,LuxeAura,714
Plant Pot,Outdoor & Garden,LuxeAura,164
Badminton Set,Health & Fitness,EtherealEdge,389
Air Conditioner,Toys & Games,LuxeAura,105
Dishwasher,Home & Furniture,ZenithStyle,569
Mattress,Sports & Recreation,LuxeAura,213
Home Security Camera,Kitchen & Dining,EtherealEdge,334
Fire Pit,Sports & Recreation,UrbanGlow,266
Yoga Mat,Kitchen & Dining,VelvetVista,125
Bicycle,Pets,EtherealEdge,849
3D Printer,Health & Fitness,EtherealEdge,418
Bicycle,Toys & Games,UrbanGlow,998
Tarp,Home Appliances,EtherealEdge,982
Supplement,Health & Fitness,VelvetVista,519
Smart Light,Electronics,ZenithStyle,279
Badminton Set,Toys & Games,LuxeAura,680
Tennis Racket,Toys & Games,ZenithStyle,976
Projector,Outdoor & Garden,LuxeAura,812
Camping Tent,Outdoor & Garden,LuxeAura,107
Smartwatch,Electronics,VelvetVista,883
Dog Leash,Pets,UrbanGlow,587
Badminton Set,Arts & Crafts,EtherealEdge,645
Sheets,Home & Furniture,EtherealEdge,196
Earbuds,Arts & Crafts,VelvetVista,541
Dog Leash,Arts & Crafts,UrbanGlow,201
Earbuds,Sports & Recreation,UrbanGlow,298
Wetsuit,Pets,UrbanGlow,904
Tennis Racket,Sports & Recreation,EtherealEdge,808
Hiking Boots,Home & Furniture,EtherealEdge,355
Hiking Boots,Kitchen & Dining,UrbanGlow,771
Craft Kit,Health & Fitness,ZenithStyle,399
Lawn Mower,Pets,UrbanGlow,598
Smart Light,Pets,ZenithStyle,700
Rain Jacket,Home & Furniture,EtherealEdge,266
Laser Printer,Pets,ZenithStyle,392
Dumbbells,Sports & Recreation,VelvetVista,802
Bluetooth Speaker,Home & Furniture,LuxeAura,505
Garden Hose,Toys & Games,VelvetVista,498
Antivirus,Home & Furniture,VelvetVista,149
Puzzle,Home Appliances,LuxeAura,864
Mattress,Health & Fitness,LuxeAura,969
Blender,Electronics,UrbanGlow,599
Laptop,Electronics,VelvetVista,362
Glasses,Pets,UrbanGlow,837
Portable Charger,Health & Fitness,EtherealEdge,553
Dehumidifier,Health & Fitness,UrbanGlow,735
Camping Tent,Home & Furniture,ZenithStyle,675
Stove,Toys & Games,EtherealEdge,408
Hiking Backpack,Kitchen & Dining,ZenithStyle,490
Electric Scooter,Home & Furniture,UrbanGlow,658
3D Printer,Pets,EtherealEdge,407
Life Jacket,Outdoor & Garden,UrbanGlow,809
VR Headset,Outdoor & Garden,EtherealEdge,422
BBQ Grill,Toys & Games,EtherealEdge,235
Sheets,Sports & Recreation,LuxeAura,773
Jacket,Outdoor & Garden,VelvetVista,743
Ski Poles,Home & Furniture,UrbanGlow,563
Flashlight,Toys & Games,LuxeAura,303
Sleeping Bag,Home Appliances,ZenithStyle,865
BBQ Grill,Sports & Recreation,VelvetVista,754
Pet Feeder,Home Appliances,UrbanGlow,158
Art Supplies,Home & Furniture,LuxeAura,851
Robot Vacuum,Pets,LuxeAura,719
Bird Feeder,Home Appliances,LuxeAura,493
Home Security Camera,Pets,ZenithStyle,563
Dog Collar,Home & Furniture,VelvetVista,633
Ping Pong Table,Home & Furniture,EtherealEdge,458
Smartwatch,Electronics,ZenithStyle,243
Cat Tree,Pets,EtherealEdge,218
Tablet,Health & Fitness,LuxeAura,172
Craft Kit,Electronics,LuxeAura,781
Lawn Sprinkler,Home & Furniture,UrbanGlow,325
Bird Feeder,Toys & Games,ZenithStyle,560
Hiking Boots,Outdoor & Garden,EtherealEdge,741
Oven,Outdoor & Garden,VelvetVista,304
Refrigerator,Pets,ZenithStyle,428
Ski Poles,Toys & Games,UrbanGlow,764
Oven,Outdoor & Garden,LuxeAura,422
Tent,Home & Furniture,ZenithStyle,462
Electric Toothbrush,Sports & Recreation,ZenithStyle,336
Ping Pong Table,Pets,LuxeAura,642
Snowboard,Pets,VelvetVista,922
Ski Poles,Toys & Games,LuxeAura,249
Juicer,Outdoor & Garden,UrbanGlow,274
Soccer Ball,Sports & Recreation,ZenithStyle,251
Stove,Outdoor & Garden,LuxeAura,831
Toothpaste,Outdoor & Garden,VelvetVista,250
Helmet,Toys & Games,VelvetVista,794
Dart Board,Health & Fitness,UrbanGlow,516
Toothpaste,Health & Fitness,VelvetVista,114
Portable Charger,Sports & Recreation,EtherealEdge,324
Smart Light,Arts & Crafts,UrbanGlow,266
Dog Collar,Home & Furniture,ZenithStyle,475
Electric Scooter,Home Appliances,VelvetVista,842
Lamp,Kitchen & Dining,VelvetVista,753
Trekking Poles,Health & Fitness,LuxeAura,142
Pet Bed,Health & Fitness,EtherealEdge,979
Tablet,Kitchen & Dining,LuxeAura,780
Coffee Maker,Toys & Games,VelvetVista,989
Dumbbells,Sports & Recreation,UrbanGlow,111
Hammock,Health & Fitness,LuxeAura,510
Soccer Ball,Health & Fitness,EtherealEdge,107
Air Conditioner,Sports & Recreation,LuxeAura,205
Toothpaste,Electronics,LuxeAura,225
Camping Chair,Sports & Recreation,UrbanGlow,657
Electric Scooter,Pets,VelvetVista,557
Cat Litter Box,Outdoor & Garden,LuxeAura,325
Water Filter,Toys & Games,UrbanGlow,825
Juicer,Arts & Crafts,UrbanGlow,235
Fishing Rod,Sports & Recreation,LuxeAura,617
Plant Pot,Toys & Games,EtherealEdge,618
Microwave,Home & Furniture,ZenithStyle,421
Sewing Machine,Home & Furniture,LuxeAura,206
Camping Chair,Health & Fitness,ZenithStyle,905
Portable Hard Drive,Arts & Crafts,EtherealEdge,223
Vacuum Cleaner,Home Appliances,ZenithStyle,859
Laptop,Health & Fitness,LuxeAura,291
Toothpaste,Health & Fitness,UrbanGlow,584
Surfboard,Toys & Games,ZenithStyle,257
Electric Shaver,Outdoor & Garden,ZenithStyle,796
Home Security Camera,Pets,VelvetVista,647
External SSD,Kitchen & Dining,LuxeAura,523
Pillow,Kitchen & Dining,VelvetVista,304
Oven,Home Appliances,LuxeAura,235
Glasses,Home & Furniture,VelvetVista,493
Bluetooth Speaker,Home & Furniture,UrbanGlow,965
Camera,Pets,VelvetVista,107
Ski Goggles,Kitchen & Dining,LuxeAura,433
Fish Food,Home & Furniture,LuxeAura,637
Cat Tree,Outdoor & Garden,ZenithStyle,102
Toothpaste,Home & Furniture,UrbanGlow,269
Golf Clubs,Outdoor & Garden,EtherealEdge,766
Patio Furniture,Kitchen & Dining,ZenithStyle,745
Electric Toothbrush,Health & Fitness,LuxeAura,436
Toy Car,Electronics,LuxeAura,551
Backpacking Stove,Pets,VelvetVista,264
Hair Dryer,Electronics,UrbanGlow,980
Tennis Racket,Home Appliances,LuxeAura,918
Life Jacket,Home Appliances,LuxeAura,161
Coffee Maker,Pets,VelvetVista,442
Telescope,Outdoor & Garden,LuxeAura,434
Doll,Arts & Crafts,EtherealEdge,182
Dehumidifier,Arts & Crafts,LuxeAura,138
Laptop,Toys & Games,EtherealEdge,580
Life Jacket,Toys & Games,ZenithStyle,229
Laptop,Kitchen & Dining,VelvetVista,244
Baseball Glove,Outdoor & Garden,ZenithStyle,933
Camping Chair,Toys & Games,ZenithStyle,754
Golf Clubs,Toys & Games,VelvetVista,428
Dog Leash,Pets,LuxeAura,268
Smart Doorbell,Arts & Crafts,UrbanGlow,711
Volleyball,Electronics,ZenithStyle,461
Power Bank,Sports & Recreation,EtherealEdge,129
Sled,Kitchen & Dining,VelvetVista,523
Garden Hose,Sports & Recreation,EtherealEdge,478
Camping Chair,Sports & Recreation,VelvetVista,590
Sleeping Pad,Sports & Recreation,EtherealEdge,420
Smart Doorbell,Outdoor & Garden,LuxeAura,364
Electric Scooter,Home & Furniture,VelvetVista,402
Backpacking Stove,Kitchen & Dining,ZenithStyle,976
Portable Charger,Toys & Games,LuxeAura,532
Craft Kit,Toys & Games,LuxeAura,352
Plant Pot,Outdoor & Garden,ZenithStyle,806
Robot Vacuum,Home & Furniture,UrbanGlow,499
Cooler,Home Appliances,VelvetVista,506
Stove,Sports & Recreation,EtherealEdge,602
Game Console,Toys & Games,ZenithStyle,762
Electric Kettle,Home Appliances,EtherealEdge,699
Wi-Fi Extender,Outdoor & Garden,VelvetVista,574
Electric Shaver,Arts & Crafts,EtherealEdge,305
Dishwasher,Toys & Games,UrbanGlow,271
Surfboard,Health & Fitness,UrbanGlow,466
Ski Poles,Health & Fitness,LuxeAura,579
Golf Clubs,Arts & Crafts,EtherealEdge,575
VR Headset,Sports & Recreation,ZenithStyle,803
3D Printer,Pets,VelvetVista,319
Toothpaste,Health & Fitness,LuxeAura,600
Hair Dryer,Health & Fitness,EtherealEdge,745
Blender,Electronics,VelvetVista,303
Mattress,Toys & Games,LuxeAura,940
